Genome	sampleId
1	GCA_024343655.1_ASM2434365v1
2	GCA_024343095.1_ASM2434309v1
3	GCF_022172285.1_ASM2217228v1
4	GCF_020295605.1_ASM2029560v1
5	GCF_016949975.1_ASM1694997v1
6	GCF_016949155.1_ASM1694915v1
7	GCF_016949095.1_ASM1694909v1
8	GCF_016949055.1_ASM1694905v1
9	GCF_016944555.1_ASM1694455v1
10	GCF_016944435.1_ASM1694443v1
11	GCF_016944295.1_ASM1694429v1
12	GCF_016944255.1_ASM1694425v1
13	GCF_016864975.1_ASM1686497v1
14	GCF_003990515.2_ASM399051v2
15	GCF_013449485.1_ASM1344948v1
16	GCF_000808295.1_ASM80829v1
17	JGAR-120719-4
18	NAK616
19	NAK617
20	104326-106-008
21	104326-106-047
22	104326-106-073
23	104326-106-074
24	104326-106-075
25	104326-106-076
26	104326-106-079
27	GCF_000291725.1_PecWas1.0
28	GCF_000749845.1_ASM74984v1
29	GCF_000749855.1_ASM74985v1
30	GCF_000749865.1_ASM74986v1
31	GCF_000749905.1_ASM74990v1
32	GCF_000754695.1_ASM75469v1
33	GCF_000754765.1_ASM75476v1
34	GCF_000757625.1_PecWasRNS_1.0
35	GCF_000803215.1_ASM80321v1
36	GCF_000803315.1_ASM80331v1
37	GCF_001039055.1_ASM103905v1
38	GCF_001742145.1_ASM174214v1
39	GCF_002307355.1_ASM230735v1
40	GCF_002847345.1_ASM284734v1
41	GCF_003028395.1_ASM302839v1
42	GCF_003382565.3_ASM338256v3
43	GCF_004137795.1_ASM413779v1
44	GCF_004296685.1_ASM429668v1
45	GCF_005497185.1_ASM549718v1
46	GCF_012427845.1_ASM1242784v1
47	GCF_014946775.2_ASM1494677v2
48	GCF_020181655.1_ASM2018165v1
49	GCF_900129615.1_IMG-taxon_2695420962_annotated_assembly
50	GCF_900195285.2_Pc0421_3
